table_name	column_name	data_type	required_level	allowed_values	definition	coding_rules	example	qa_checks
canonical_result.tsv	N_max	number	conditional		Maximum N among children.	Required for multi-result summaries.		If nonblank, must parse as a numeric value.
canonical_result.tsv	resolution_status	category	required	single_source_result | preferred_source_selected | multiple_source_results_need_resolution | duplicate_existing | blocked	Deduplication/resolution status.	Do not silently plot unresolved duplicates.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
canonical_result.tsv	resolution_notes	string	recommended		Why this source/result was preferred or how collapse was done.	Required for source_result_count > 1.		Review for consistency with the field definition and coding rules.
canonical_result_membership.tsv	canonical_result_id	string	required		Foreign key to canonical_result.tsv.	Every membership row belongs to one canonical result.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
canonical_result_membership.tsv	source_result_id	string	required		Foreign key to source_result.tsv.	Every child/member must be an explicit source_result row.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
canonical_result_membership.tsv	membership_role	category	required	preferred | child | excluded_child | duplicate | sensitivity_only	Role of the source-result in the canonical result.	Use preferred for the preferred direct source, child for included child rows, excluded_child for rejected candidates, duplicate for duplicates, sensitivity_only for sensitivity rows.	preferred	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
canonical_result_membership.tsv	included_in_collapse	boolean	required		Whether this source-result contributed to min/median/max/preferred collapse.	Use false for duplicate, excluded, or sensitivity-only rows.		Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
canonical_result_membership.tsv	included_in_statistics	boolean	required		Whether this source-result contributes to reported statistics.	Usually false when canonical_result itself is the plotted/statistical unit.		Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
canonical_result_membership.tsv	aggregation_role	string	recommended		Role in aggregation rule.	Examples: median_child, min_child, max_child, preferred_source, source_assertion_only.		Review for consistency with the field definition and coding rules.
canonical_result_membership.tsv	weight	number	optional		Weight used in aggregation, if any.	Leave blank for unweighted median/preferred-source decisions.		If nonblank, must parse as a numeric value.
canonical_result_membership.tsv	notes	string	optional		Membership notes.	Explain exclusions, duplicate handling, or child-row provenance gaps.		Review for consistency with the field definition and coding rules.
source_result_support.tsv	source_result_id	string	required		Foreign key to source_result.tsv.	The result row being supported.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_result_support.tsv	source_id	string	required		Foreign key to source.tsv.	The source object providing support.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_result_support.tsv	access_id	string	conditional		Foreign key to source_access.tsv.	Required when support is tied to a specific file/API/page route.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_result_support.tsv	source_file_id	string	conditional		Foreign key to source_file.tsv.	Use when support is tied to a mirrored artifact/file.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_result_support.tsv	support_role	category	required	effect_text | n_text | outcome_text | selector_text | conversion_input | raw_data | analytic_data | code | recomputed_output | bibliographic_identity | access_grounding | relationship_evidence | other	What the support object provides.	Use effect_text, n_text, selector_text, conversion_input, raw_data, code, relationship_evidence, etc.	effect_text	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_result_support.tsv	support_locator	string	conditional		Locator inside the support source.	Use table/page/row/API path/script output locator.		Review for consistency with the field definition and coding rules.
source_result_support.tsv	support_locator_type	string	optional		Type of locator.	Examples: csv_row, json_path, pdf_page, table_cell, xpath, script_output, plot_row.		Review for consistency with the field definition and coding rules.
source_result_support.tsv	page_number	integer	optional		Page number for PDF/page artifacts.	Use 1-indexed page when available.		If nonblank, must parse as a numeric value.
source_result_support.tsv	section_heading	string	optional		Section heading near support text.	Use Methods, Results, Appendix, etc. when available.		Review for consistency with the field definition and coding rules.
source_result_support.tsv	table_number	string	optional		Table identifier.	Examples: Table 1, Appendix Table S3.		Review for consistency with the field definition and coding rules.
source_result_support.tsv	figure_number	string	optional		Figure identifier.	Examples: Figure 2, Fig. S1.		Review for consistency with the field definition and coding rules.
source_result_support.tsv	cell_locator	string	optional		Cell/row/column locator inside table or dataset.	Use row id, column name, sheet name, or API field path.		Review for consistency with the field definition and coding rules.
source_result_support.tsv	char_start	integer	optional		Character start offset in extracted text.	Populate after text extraction.		If nonblank, must parse as a numeric value.
source_result_support.tsv	char_end	integer	optional		Character end offset in extracted text.	Populate after text extraction.		If nonblank, must parse as a numeric value.
source_result_support.tsv	xml_xpath	string	optional		XML XPath for support.	Use for JATS/PMC/XML artifacts.		Review for consistency with the field definition and coding rules.
source_result_support.tsv	html_css_selector	string	optional		HTML CSS selector for support.	Use for full HTML/landing page artifacts.		Review for consistency with the field definition and coding rules.
source_result_support.tsv	pdf_bbox	string	optional		PDF bounding box for support.	Use compact JSON or x0,y0,x1,y1,page.		Review for consistency with the field definition and coding rules.
source_result_support.tsv	support_verbatim_text	string	conditional		Copied support text from this source.	Required when the support role is effect_text, n_text, selector_text, conversion_input, or relationship_evidence and text is available.		Must be copied from source text/fields, not a display label or paraphrase.
source_result_support.tsv	verbatim_snippet_hash	string	optional		Hash of support_verbatim_text.	Useful for long-term fixity without relying on display text.		Must be copied from source text/fields, not a display label or paraphrase.
source_result_support.tsv	copied_text_allowed_yn	boolean_or_unknown	recommended		Whether the copied support text can be shared.	Use unknown for pilot rows and restricted sources.		Review for consistency with the field definition and coding rules.
source_result_support.tsv	support_confidence	category	required	high | medium | low | blocked	Confidence in this support relationship.	Use high only when the support text/locator is explicit.	medium	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_result_support.tsv	notes	string	optional		Support notes.	Explain why this object supports the result or why text is unavailable.		Review for consistency with the field definition and coding rules.
plot_universe.tsv	plot_universe_id	string	required		Stable plot universe/context ID.	Use IDs from PROVENANCE_PIPELINE_SINGLE_SOURCE_OF_TRUTH.yml.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
plot_universe.tsv	figure_label	string	recommended		Figure, panel, diagnostic, or future plot label.	Examples: Figure 1, Figure 2, diagnostic_all_source_dn.		Review for consistency with the field definition and coding rules.
plot_universe.tsv	current_scope_role	category	recommended	current_figure | current_diagnostic | catalog_only_future_plot_seed | future_plot_candidate | sensitivity_view | deprecated	Role of this universe in the current project scope.	Distinguish current figures from catalog-only future seeds.	current_figure	If nonblank, must be one of allowed_values exactly.
plot_universe.tsv	result_target_kind	string	required		Kind of result target this universe evaluates.	Examples: replication_pair, paper_result, preregistered_result, diagnostic_source_result.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
plot_universe.tsv	publication_requirement	string	recommended		Publication requirement for this universe.	Examples: not_required, required_eventually_published, mixed_or_not_universal.		Review for consistency with the field definition and coding rules.
plot_universe.tsv	output_unit	string	required		Unit emitted by this plot universe.	Examples: one original/replication pair, one paper-level D/N result.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
plot_universe.tsv	criteria_version	string	recommended		Version or date of the criteria snapshot.	Use YAML schema_version/date or a build-specific criteria version.		Review for consistency with the field definition and coding rules.
plot_universe.tsv	universe_definition_source	string	recommended		Where the definition came from.	Usually PROVENANCE_PIPELINE_SINGLE_SOURCE_OF_TRUTH.yml.		Review for consistency with the field definition and coding rules.
plot_universe.tsv	active_yn	boolean	recommended		Whether this universe is active in the current build.	Use false for future plots or deprecated contexts.	true	Use lowercase true/false.
plot_universe.tsv	notes	string	optional		Universe-level notes.	Keep row-specific decisions in plot_membership.tsv.		Review for consistency with the field definition and coding rules.
plot_criterion.tsv	criterion_id	string	required		Stable reusable criterion ID.	Use IDs from PROVENANCE_PIPELINE_SINGLE_SOURCE_OF_TRUTH.yml.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
plot_criterion.tsv	criterion_label	string	recommended		Short human-readable criterion label.	Use a concise display name.		Review for consistency with the field definition and coding rules.
plot_criterion.tsv	gate_type	string	required		Criterion gate type.	Examples: include_if_true, exclude_if_true, required_context.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
plot_criterion.tsv	applies_to_grain	string	recommended		The grain this criterion evaluates.	Examples: search_lead, source, source_result, canonical_result, represented_result, plot_membership.		Review for consistency with the field definition and coding rules.
plot_criterion.tsv	rule_text	string	required		Plain-language criterion rule.	Copy from YAML so the table snapshot is understandable without code.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
plot_criterion.tsv	accept_if	string	conditional		Pipe-delimited or compact text acceptance examples.	Use for nontrivial include criteria.		Review for consistency with the field definition and coding rules.
plot_criterion.tsv	reject_if	string	conditional		Pipe-delimited or compact text rejection examples.	Use for nontrivial exclusion criteria.		Review for consistency with the field definition and coding rules.
plot_criterion.tsv	evidence_fields	string	recommended		Pipe-delimited evidence fields used by this criterion.	Keep in sync with source/source_result/plot_membership fields where possible.		Review for consistency with the field definition and coding rules.
plot_criterion.tsv	reusable_in_plot_universe_ids	string	optional		Pipe-delimited plot universes where this criterion can be reused.	Future plots can reuse criteria without rewriting source/result rows.		IDs should be stable; foreign keys should match the referenced table when applicable.
plot_criterion.tsv	status	string	recommended		Criterion status.	Examples: active, draft, deprecated.		Review for consistency with the field definition and coding rules.
plot_membership.tsv	plot_id	string	required		Stable plot or statistic-set ID.	Examples: plot1_replication, plot2_published, plot3_preregistered, plot4_all_sources, diagnostic_level5.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
plot_membership.tsv	plot_universe_id	string	recommended		Plot universe/context used to evaluate this canonical result.	Use the YAML plot_universe ID; one plot_id may have multiple statistic or sensitivity contexts.		IDs should be stable; foreign keys should match the referenced table when applicable.
plot_membership.tsv	canonical_result_id	string	required		Foreign key to canonical_result.tsv.	The canonical result being plotted, staged, or excluded.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
plot_membership.tsv	criteria_version	string	recommended		Criteria version used for this decision.	Required for reproducible future plots and sensitivity analyses.		Review for consistency with the field definition and coding rules.
plot_membership.tsv	decision_context_type	category	recommended	current_plot | diagnostic_view | sensitivity_view | future_plot_draft | manual_review | automated_rule	Kind of context that made this decision.	Distinguish current plots, diagnostics, sensitivity views, future drafts, manual reviews, and automated rules.	current_plot	If nonblank, must be one of allowed_values exactly.
plot_membership.tsv	eligibility_status	category	recommended	included | excluded | catalog_only | diagnostic_only | sensitivity_only | pending | blocked	Overall eligibility decision under this plot universe.	Use included/excluded/catalog_only/diagnostic_only/sensitivity_only/pending/blocked.	included	If nonblank, must be one of allowed_values exactly.
plot_membership.tsv	included_in_plot	boolean	required		Whether this canonical result is shown in the plot.	Use false for explicit exclusions or statistics-only memberships.		Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
plot_membership.tsv	included_in_statistics	boolean	required		Whether this canonical result contributes to plot summary statistics.	Use false for visual-only, excluded, or diagnostic-only points.		Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
plot_membership.tsv	passed_criteria_ids	string	recommended		Pipe-delimited criteria passed by this canonical result.	Use criterion IDs from plot_criterion/YAML.		IDs should be stable; foreign keys should match the referenced table when applicable.
plot_membership.tsv	failed_criteria_ids	string	conditional		Pipe-delimited criteria failed by this canonical result.	Required when included_in_plot or included_in_statistics is false due to criteria failure.		IDs should be stable; foreign keys should match the referenced table when applicable.
plot_membership.tsv	caveat_criteria_ids	string	optional		Pipe-delimited criteria allowed only with caveat.	Use for sensitivity or diagnostic contexts.		IDs should be stable; foreign keys should match the referenced table when applicable.
plot_membership.tsv	decision_basis	string	recommended		Plain-language basis for membership decision.	Summarize the decisive criteria and source fields.		Review for consistency with the field definition and coding rules.
plot_membership.tsv	decision_source	string	recommended		Script, YAML, manual review, or artifact that made the decision.	Examples: build_codebook_pilot_sample.py, PROVENANCE_PIPELINE_SINGLE_SOURCE_OF_TRUTH.yml.		Review for consistency with the field definition and coding rules.
plot_membership.tsv	decided_at	datetime	recommended		Decision timestamp/date.	Use build date when exact timestamp is unavailable.		Review for consistency with the field definition and coding rules.
plot_membership.tsv	plot_field	string	recommended		Field/category displayed in the plot legend or grouping.	Examples: Clinical medicine, Psychology/health, Political science.		Review for consistency with the field definition and coding rules.
plot_membership.tsv	plot_source_family	string	recommended		Source-family label displayed or used for grouping.	Examples: ClinicalTrials.gov, SCORE/COS, EGAP Metaketa.		Review for consistency with the field definition and coding rules.
plot_membership.tsv	render_order_group_count	integer	optional		Group count used for draw order.	Use to plot high-count groups first and smaller-count groups later/on top.		If nonblank, must parse as a numeric value.
plot_membership.tsv	style_group	string	optional		Visual style group.	Use for color/shape/alpha decisions when relevant.		Review for consistency with the field definition and coding rules.
plot_membership.tsv	exclusion_reason	string	conditional		Reason this canonical result is not included.	Required when included_in_plot=false or included_in_statistics=false for a non-obvious reason.		Review for consistency with the field definition and coding rules.
plot_membership.tsv	notes	string	optional		Plot membership notes.	Keep plot-only decisions out of source_result provenance.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	mapping_id	string	required		Stable relationship ID.	One directed relationship per row.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_source_mapping.tsv	from_source_id	string	required		Source ID for parent/asserting/deriving source.	Must match source.tsv.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_source_mapping.tsv	to_source_id	string	required		Source ID for child/represented/derived-from source.	Must match source.tsv.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_source_mapping.tsv	relationship_type	category	required	extraction_source_reports_result_for_represented_source | corpus_contains_paper | database_reports_paper_result | repository_supports_paper | registry_preregisters_study | registry_links_publication | pre_analysis_plan_supports_study | registered_report_protocol_for_paper | publication_reports_registered_study | replication_of | computational_reproduction_of | robustness_reanalysis_of | meta_analysis_includes_study | corpus_asserts_result_for_paper | corpus_asserts_preregistration_for_paper | paper_uses_dataset | source_derives_from_source | duplicate_of | parent_collection_contains_child	Relationship between sources.	Use controlled vocabulary.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_source_mapping.tsv	relationship_subtype	category	recommended	preregistration | pre_analysis_plan | meta_analysis_pre_analysis_plan | registered_report_stage1_protocol | registered_report_stage2_results | trial_registry_record | data_or_code_package | paper_supplement | direct_replication | conceptual_replication | computational_reproduction | robustness_reanalysis | extension_study | pilot_full_scale_pair | pooled_round_component | corpus_child_paper | database_child_result | citation_or_link_only | unknown	Specific relationship subtype.	Use this to distinguish direct replication, conceptual replication, PAP, MPAP, registered report protocol, corpus child paper, package support, etc.	pre_analysis_plan	If nonblank, must be one of allowed_values exactly.
source_source_mapping.tsv	mapping_assertion_source_id	string	conditional		Source that asserts or documents this relationship.	Can equal from_source_id, but do not assume. Example: a corpus asserts Paper B reports Paper A; a registry page links final publication.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_source_mapping.tsv	mapping_assertion_access_id	string	conditional		Access row for the file/page/API response where this relationship was observed.	Use source_access.access_id when available.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_source_mapping.tsv	mapping_assertion_locator	string	conditional		Locator inside the assertion source.	Examples: CSV row ID, registry field paper_url, PAP p. 3, OSF file list, article footnote.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	mapping_assertion_url	url	conditional		Most direct URL documenting the relationship.	Use direct registry, DOI, OSF, Dataverse, package, corpus row, or article URL.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_source_mapping.tsv	mapping_assertion_verbatim_text	string	conditional		Verbatim text/field that asserts the relationship.	Required when the relation is not obvious from source IDs alone; one-line TSV-safe.		Must be copied from source text/fields, not a display label or paraphrase.
source_source_mapping.tsv	mapping_evidence_type	category	recommended	verbatim_text | metadata_field | doi_link | registry_link | citation_match | title_author_year_match | code_or_package_manifest | manual_judgment | unknown	Type of evidence used to assert the mapping.	Prefer verbatim_text or metadata_field over manual_judgment when possible.	metadata_field	If nonblank, must be one of allowed_values exactly.
source_source_mapping.tsv	external_relationship_id	string	optional		External ID for the relationship.	Examples: AEARCTR-0000685, NCT ID, OSF registration GUID, SCORE claim ID, Metaketa project ID.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_source_mapping.tsv	external_relationship_url	url	optional		External URL for the relationship or mapping record.	Use when different from mapping_assertion_url.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_source_mapping.tsv	relationship_date	date_or_datetime	optional		Primary relationship date.	For preregistration this is filing/registration date; for replication this can be replication publication/registration date.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	relationship_updated_at	date_or_datetime	optional		Update, amendment, or version date.	Use for registry updates, PAP amendments, OSF version timestamps, package versions.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	relationship_timing	category	conditional	pre_data_collection | pre_analysis | post_data_pre_results | post_results | not_applicable | unknown	Timing of this relationship relative to data collection/analysis/results.	Required for preregistration and registered-report mappings.	pre_data_collection	If nonblank, must be one of allowed_values exactly.
source_source_mapping.tsv	prereg_registry_name	string	conditional		Registry or preregistration platform name.	Examples: AEA RCT Registry, EGAP, OSF Registries, ClinicalTrials.gov, RIDIE.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	prereg_registration_id	string	conditional		Registry/PAP/registered-report identifier.	Examples: AEARCTR-0000685, EGAP registration/736, NCT02818036, OSF GUID.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_source_mapping.tsv	prereg_document_type	category_or_string	conditional		Specific preregistration document type.	Examples: registry_metadata, PAP, MPAP, Stage 1 registered report, protocol, amendment.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	prereg_primary_outcome_text	string	conditional		Verbatim primary outcome/family text from preregistration/PAP.	Use when the mapping supports a focal selector.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	prereg_hypothesis_text	string	conditional		Verbatim hypothesis text from preregistration/PAP.	Use when available; do not replace with article wording.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	replication_kind	category	conditional	preregistration | pre_analysis_plan | meta_analysis_pre_analysis_plan | registered_report_stage1_protocol | registered_report_stage2_results | trial_registry_record | data_or_code_package | paper_supplement | direct_replication | conceptual_replication | computational_reproduction | robustness_reanalysis | extension_study | pilot_full_scale_pair | pooled_round_component | corpus_child_paper | database_child_result | citation_or_link_only | unknown	Specific replication/reproduction type.	Required when relationship_type is replication_of, computational_reproduction_of, or robustness_reanalysis_of.	direct_replication	If nonblank, must be one of allowed_values exactly.
source_source_mapping.tsv	replication_target_claim	string	conditional		Claim/result/hypothesis being replicated or reproduced.	Copy source wording when available.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	replication_original_result_id	string	optional		Original source_result_id targeted by the replication.	Fill when original result row exists in source_result.tsv.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_source_mapping.tsv	replication_replicating_result_id	string	optional		Replication/reproduction source_result_id.	Fill when replication result row exists in source_result.tsv.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_source_mapping.tsv	replication_outcome_match	string	conditional		How closely the replication outcome matches the original.	Examples: identical measure, same construct, different operationalization, unknown.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	replication_sample_relation	string	conditional		How replication sample relates to original.	Examples: independent sample, same data recomputed, subset, extension sample, unknown.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	replication_design_relation	string	conditional		How replication design relates to original.	Examples: same design, close protocol, conceptual extension, computational rerun, robustness specification.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	collection_role	string	optional		Role in a corpus/collection mapping.	Examples: parent corpus, child paper, child result, pooled round, component study.		Review for consistency with the field definition and coding rules.
source_source_mapping.tsv	dedupe_group_id	string	optional		Group ID for sources/results that should not be double-counted together.	Use for pooled/component Metaketa rows, corpus-child rows, and original/replication pair families.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_source_mapping.tsv	relationship_confidence	category	required	high | medium | low | blocked	Confidence in relationship.	Use blocked only when relation is suspected but unverified.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_source_mapping.tsv	notes	string	optional		Relationship notes.	Keep concise.		Review for consistency with the field definition and coding rules.
extraction_event.tsv	event_id	string	required		Stable event ID.	One extraction/retrieval/check action.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
extraction_event.tsv	source_result_id	string	conditional		Source-result affected by event.	Blank only for source-level access events.		IDs should be stable; foreign keys should match the referenced table when applicable.
extraction_event.tsv	access_id	string	conditional		Access row involved.	Required for download/mirror events.		IDs should be stable; foreign keys should match the referenced table when applicable.
extraction_event.tsv	event_step	string	required		Step name.	Examples: download, unzip, parse_table, run_script, manual_pdf_check, blocked_login.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
extraction_event.tsv	timestamp	datetime	recommended		ISO timestamp/date.	At least YYYY-MM-DD.		Review for consistency with the field definition and coding rules.
extraction_event.tsv	performed_by	string	recommended		Actor/tool.	Examples: codex, user, script name.		Review for consistency with the field definition and coding rules.
extraction_event.tsv	command_or_tool	string	conditional		Command, script, API client, or manual action.	Include enough to repeat when practical.		Review for consistency with the field definition and coding rules.
extraction_event.tsv	path	path	conditional		Path touched by event.	Repo-relative where possible.		Use repo-relative paths when possible; verify existence when access_status implies local bytes.
extraction_event.tsv	path_exists	boolean	recommended		Whether path existed at check time.	Use true/false.		Use lowercase true/false.
extraction_event.tsv	file_size_bytes	integer	conditional		File size after event.	Required for downloaded/mirrored files.		If nonblank, must parse as a numeric value.
extraction_event.tsv	file_sha256	string	conditional		Checksum after event.	Required for downloaded/mirrored files.		Review for consistency with the field definition and coding rules.
extraction_event.tsv	status	string	required		Outcome of event.	Examples: found, downloaded, parsed, failed, blocked.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
extraction_event.tsv	match_method	string	conditional		How a source row was matched.	Examples: DOI exact, NCT_ID + outcome title, title + D/N.		Review for consistency with the field definition and coding rules.
extraction_event.tsv	notes	string	optional		Event details.	For failures, state exact blocker.		Review for consistency with the field definition and coding rules.
extraction_problem.tsv	problem_id	string	required		Stable problem ID.	One problem per row.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
extraction_problem.tsv	source_result_id	string	conditional		Affected source-result row.	Blank only for source-level problems.		IDs should be stable; foreign keys should match the referenced table when applicable.
extraction_problem.tsv	table_name	string	recommended		Table containing problem.	Use codebook table name.		Review for consistency with the field definition and coding rules.
extraction_problem.tsv	column_name	string	conditional		Column containing problem.	Use when field-specific.		Review for consistency with the field definition and coding rules.
extraction_problem.tsv	problem_code	category	required	missing_verbatim_effect_text | missing_verbatim_n_text | missing_source_locator | source_is_derived_not_original_text | access_blocked | needs_pdf_check | needs_code_execution | conversion_not_defensible | duplicate_needs_resolution | missing_bibliographic_key	Machine-actionable problem code.	Use controlled vocabulary.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
extraction_problem.tsv	severity	category	required	high | medium | low	Severity.	High blocks promotion.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
extraction_problem.tsv	detail	string	required		Human-readable issue.	State what is missing or ambiguous.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
extraction_problem.tsv	suggested_rework	string	recommended		How to fix.	Give URL/path/action if known.		Review for consistency with the field definition and coding rules.
extraction_problem.tsv	resolved	boolean	required		Whether problem is resolved.	Use false until fixed.		Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
extraction_problem.tsv	resolved_by	string	conditional		Who resolved it.	Required if resolved=true.		Review for consistency with the field definition and coding rules.
extraction_problem.tsv	resolved_at	datetime	conditional		Resolution date/time.	Required if resolved=true.		Review for consistency with the field definition and coding rules.
manual_acquisition_task.tsv	manual_task_id	string	required		Stable manual task ID.	One row per human acquisition/review task.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
manual_acquisition_task.tsv	source_result_id	string	conditional		Source-result needing manual work.	Blank only for source-level tasks.		IDs should be stable; foreign keys should match the referenced table when applicable.
manual_acquisition_task.tsv	canonical_result_id	string	conditional		Canonical result affected by task.	Use when task affects a plotted/statistical dot.		IDs should be stable; foreign keys should match the referenced table when applicable.
manual_acquisition_task.tsv	represented_source_id	string	conditional		Represented source requiring acquisition.	Use source_result.represented_source_id when available.		IDs should be stable; foreign keys should match the referenced table when applicable.
manual_acquisition_task.tsv	extraction_source_id	string	conditional		Current extraction source.	Use source_result.extraction_source_id when relevant.		IDs should be stable; foreign keys should match the referenced table when applicable.
manual_acquisition_task.tsv	needed_artifact_type	category	required	original_source_object | full_article | registry_record | supplement | dataset_or_code | prereg_artifact | replication_evidence | effect_text | n_text | license_review | identity_disambiguation | other	Artifact/review type needed.	Use the narrowest missing item.	original_source_object	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
manual_acquisition_task.tsv	needed_value_fields	string	recommended		Fields needed from manual work.	Examples: effect_text|n_text|source_object|license_review.		Review for consistency with the field definition and coding rules.
manual_acquisition_task.tsv	priority_score	number	recommended		Priority score for manual queue.	Higher means more useful/tractable.		If nonblank, must parse as a numeric value.
manual_acquisition_task.tsv	priority_reason	string	recommended		Why this task has this priority.	Use evidence level, plot membership, identifiers, and likely upgrade value.		Review for consistency with the field definition and coding rules.
manual_acquisition_task.tsv	failed_route_summary	string	recommended		Summary of automated routes already tried.	Use source_access_attempt decisions and extraction problems.		Review for consistency with the field definition and coding rules.
manual_acquisition_task.tsv	best_candidate_urls	string	conditional		Candidate URLs for human to try.	Pipe-delimit DOI/registry/repository/publisher URLs.		Review for consistency with the field definition and coding rules.
manual_acquisition_task.tsv	acceptable_manual_routes	string	recommended		Allowed manual routes.	Examples: library access, repository request, author manuscript search, PDF parse.		Review for consistency with the field definition and coding rules.
manual_acquisition_task.tsv	library_access_needed_yn	boolean	recommended		Whether library/institutional access may be needed.	Use true/false/unknown when possible.		Use lowercase true/false.
manual_acquisition_task.tsv	ill_needed_yn	boolean	recommended		Whether interlibrary loan may be needed.	Use true/false.		Use lowercase true/false.
manual_acquisition_task.tsv	author_contact_needed_yn	boolean	recommended		Whether author contact may be needed.	Use true/false.		Use lowercase true/false.
manual_acquisition_task.tsv	repository_access_request_needed_yn	boolean	recommended		Whether repository access request may be needed.	Use true/false.		Use lowercase true/false.
manual_acquisition_task.tsv	assigned_to	string	optional		Human/task owner.	Blank until assigned.		Review for consistency with the field definition and coding rules.
manual_acquisition_task.tsv	status	category	required	open | in_progress | blocked | closed | not_needed	Manual task status.	Use open until completed or ruled out.	open	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
manual_acquisition_task.tsv	opened_at	datetime	recommended		Task creation timestamp/date.	Use batch timestamp.		Review for consistency with the field definition and coding rules.
manual_acquisition_task.tsv	closed_at	datetime	conditional		Task close timestamp/date.	Required if status=closed.		Review for consistency with the field definition and coding rules.
manual_acquisition_task.tsv	human_outcome	string	optional		Outcome after human work.	Examples: pdf_downloaded, paywalled, no_source_found, value_verified.		Review for consistency with the field definition and coding rules.
manual_acquisition_task.tsv	created_source_file_id	string	conditional		Source file created by manual work.	Foreign key to source_file.tsv when available.		IDs should be stable; foreign keys should match the referenced table when applicable.
